business,address,city,state,zip,zip4,emps,sic4,sic4desc,bldgid,sourceid,lat,long,accuracy,hqbranch,familyid,familybus,familymsas,geog
LAKEWOOD SEWARD PARK COMM CLUB,6315 RAINIER AVE S,SEATTLE,WA,98118,2751,3,8641,Civic/Social Association,13349331,402573789,47.545484,-122.275553,1,9,0,0,0,0101000020E610000024D40CA9A2915EC0E23E726BD2C54740
AUDITOR RANDY,3911 S LUCILE ST,SEATTLE,WA,98118,2257,3,8721,Accounting/Bookkeeping Service,174342876,402781691,47.552532,-122.28313,3,9,0,0,0,0101000020E61000000EA14ACD1E925EC02AFF5A5EB9C64740
CASTLE JANITORIAL SVC,4027 13TH AVE W,SEATTLE,WA,98119,1350,3,7349,Building Maintenance Service,37321208,402446813,47.655686,-122.373762,3,9,0,0,0,0101000020E6100000349F73B7EB975EC0F838D384EDD34740
X BAR,3600 15TH AVE W # 300,SEATTLE,WA,98119,1330,5,7371,Custom Computer Programming Services,31076204,254866361,47.652153,-122.375956,3,9,0,0,0,0101000020E61000000A2FC1A90F985EC0807EDFBF79D34740
SALTAIRE CONSTRUCTION,2101 9TH AVE # 211,SEATTLE,WA,98121,2741,20,1521,Single-Family Homes Contractor,31074726,886091834,47.617041,-122.337151,3,9,0,0,0,0101000020E610000014B4C9E193955EC044A51133FBCE4740
SEATTLE'S BEST FLOWER SHOP,2500 1ST AVE,SEATTLE,WA,98121,1303,6,5992,Retail Florist,51602928,654393214,47.614797,-122.348635,3,9,0,0,0,0101000020E61000006CCF2C0950965EC0E75608ABB1CE4740
BREAKWATER INSURANCE GROUP INS,2111 WESTLAKE AVE,SEATTLE,WA,98121,,3,6411,"Insurance Agents, Brokers And Service",46884586,402800514,47.61672,-122.338337,3,9,0,0,0,0101000020E6100000B6813B50A7955EC0026553AEF0CE4740
RADAR HAIR & RECORDS,2724 1ST AVE,SEATTLE,WA,98121,,11,7231,Beauty Shops,46889587,402548356,47.616045,-122.350726,3,9,0,0,0,0101000020E6100000D7F6764B72965EC0A2EE0390DACE4740
SOMMITA TECHNOLOGY GROUP,2721 1ST AVE # 307,SEATTLE,WA,98121,3519,5,7379,Computer Related Service,47535145,400065382,47.615786,-122.350896,3,9,0,0,0,0101000020E610000006137F1475965EC0D6AA5D13D2CE4740
STANDARD PARKING,2001 5TH AVE,SEATTLE,WA,98121,2504,6,7521,Automobile Parking Service,45018970,402422333,47.614351,-122.340641,3,2,45601,822,95,0101000020E610000050ABE80FCD955EC0E8A1B60DA3CE4740
STANDARD PARKING,2030 9TH AVE,SEATTLE,WA,98121,2743,6,7521,Automobile Parking Service,9626288,402422374,47.616739,-122.33605,3,2,45601,822,95,0101000020E610000088F4DBD781955EC07995B54DF1CE4740
CROSS FIT BELLTOWN,2512 2ND AVE,SEATTLE,WA,98121,1427,2,7991,Physical Fitness Facility,31250767,402446824,47.615543,-122.347879,3,2,0,0,0,0101000020E6100000C6FD47A643965EC01024EF1CCACE4740
ELLIS LI & MC KINSTRY PLLC,2025 1ST AVE # A,SEATTLE,WA,98121,3125,28,8111,Legal Service,16584734,804749547,47.611115,-122.343021,3,9,0,0,0,0101000020E6100000D6355A0EF4955EC02A8C2D0439CE4740
SEATTLE CHRISTIAN FOUNDATION,2025 1ST AVE # A,SEATTLE,WA,98121,3125,2,8732,Commercial Research Service,16584734,715240891,47.611115,-122.343021,3,9,0,0,0,0101000020E6100000D6355A0EF4955EC02A8C2D0439CE4740
RETROFIT HOME,1103 E PIKE ST,SEATTLE,WA,98122,3915,3,5712,Retailer Of Furniture,31237164,369722020,47.613953,-122.318101,3,9,0,0,0,0101000020E6100000CBF44BC45B945EC0FB230C0396CE4740
EDWARD JONES,140 LAKESIDE AVE # C,SEATTLE,WA,98122,6590,2,6282,Investment Advisory Services,9585414,402800488,47.602045,-122.28497,3,2,4751,13914,329,0101000020E6100000D595CFF23C925EC033DC80CF0FCD4740
HUNTERS PROPERTY MANAGEMENT,1620 BROADWAY # 200,SEATTLE,WA,98122,2564,5,6282,Investment Advisory Services,198197739,606531929,47.615493,-122.320597,3,9,0,0,0,0101000020E6100000878C47A984945EC05EF58079C8CE4740
HAIR CONNECTION,915 E PINE ST # 102,SEATTLE,WA,98122,3870,3,7231,Beauty Shops,14335454,174452862,47.615113,-122.32005,3,9,0,0,0,0101000020E61000006DC5FEB27B945EC0172CD505BCCE4740
SALON ARMAND,1416 BOYLSTON AVE # 101,SEATTLE,WA,98122,3735,7,7231,Beauty Shops,181573005,402353695,47.613135,-122.323194,3,9,0,0,0,0101000020E6100000DC10E335AF945EC038842A357BCE4740
INFINITY ACUPUNCTURE COMM CLNC,1620 BROADWAY # 201,SEATTLE,WA,98122,2564,1,8049,Health Practitioner's Office,198197739,402548257,47.615493,-122.320597,3,9,0,0,0,0101000020E6100000878C47A984945EC05EF58079C8CE4740
HAMLIN ROBINSON SCHOOL,1700 E UNION ST,SEATTLE,WA,98122,4140,30,8211,Elementary/Secondary School,31125144,804836773,47.613047,-122.310157,3,9,0,0,0,0101000020E610000008E8BE9CD9935EC099F4F75278CE4740
ALLIANCE OF PEOPLE W/DISABILTY,1120 E TERRACE ST # 100,SEATTLE,WA,98122,7405,12,8059,Nursing/Personal Care Service,9565459,451888630,47.605389,-122.317832,3,9,0,0,0,0101000020E6100000D367075C57945EC0D82D02637DCD4740
BONEL LLC,12054 LAKE CITY WAY NE,SEATTLE,WA,98125,5332,4,5541,Gasoline Service Stations,31211672,400413058,47.715808,-122.29701,3,9,0,0,0,0101000020E610000070253B3602935EC08B1BB7989FDB4740
EYE ASSOCIATES NORTHWEST PC,155 NE 100TH ST # 110,SEATTLE,WA,98125,8007,20,8011,Medical Doctor's Office,9593925,979046117,47.701208,-122.327481,3,9,148429404,3,1,0101000020E6100000EE43DE72F5945EC0C7D8092FC1D94740
CPC PROPERTY MANAGEMENT,11000 LAKE CITY WAY NE,SEATTLE,WA,98125,6748,3,6531,Real Estate Agents And Managers,37297080,402813769,47.708412,-122.301154,3,9,0,0,0,0101000020E6100000D0436D1B46935EC0070C923EADDA4740
EXCEPTIONAL CLEANING INC,13026 27TH AVE NE,SEATTLE,WA,98125,4314,2,7349,Building Maintenance Service,46890778,609673405,47.724293,-122.298848,3,9,0,0,0,0101000020E6100000679E5C5320935EC062DC0DA2B5DC4740
NORTHWEST AUTOMOTIVE,12300 LAKE CITY WAY NE,SEATTLE,WA,98125,5402,8,7538,General Automotive Repair Service,42995758,409747391,47.717349,-122.296078,3,9,0,0,0,0101000020E61000002AC423F1F2925EC0BE688F17D2DB4740
LAKE CITY MED CLINIC,12736 33RD AVE NE,SEATTLE,WA,98125,4504,8,8011,Medical Doctor's Office,102255959,402353740,47.722171,-122.291932,3,9,0,0,0,0101000020E6100000FA298E03AF925EC0508F6D1970DC4740
CASA DOS YOUTHCARE,3601 NE 123RD ST,SEATTLE,WA,98125,5753,2,8641,Civic/Social Association,102257801,402367719,47.717173,-122.289307,3,9,0,0,0,0101000020E61000003FE0810184925EC080492A53CCDB4740
AUTONOMOUS AGENTS,13725 2ND AVE NE,SEATTLE,WA,98125,3028,3,8712,Architectural Service,163758190,715222808,47.729276,-122.32786,3,9,0,0,0,0101000020E6100000A96A82A8FB945EC0FCE07CEA58DD4740
GREEN CITY CATERING,4611 36TH AVE SW,SEATTLE,WA,98126,2713,3,5812,Eating Places,31093086,677800088,47.5619,-122.377644,3,9,0,0,0,0101000020E6100000F661BD512B985EC0ABCFD556ECC74740
INDEPENDENCE REHAB INC,4611 35TH AVE SW,SEATTLE,WA,98126,2761,4,8331,Job Training/Related Service,35487417,402367583,47.561909,-122.3764,3,9,148535301,19,9,0101000020E6100000B98D06F016985EC0FE2955A2ECC74740
COMMERCIAL SPACE ADVISORS,804 N 145TH ST,SHORELINE,WA,98133,6564,3,1521,Single-Family Homes Contractor,38717244,995388295,47.734257,-122.34769,3,9,0,0,0,0101000020E61000005CC98E8D40965EC0F6ED2422FCDD4740
SUNNYSIDE AUTOMOTIVE GROUP LLC,12715 AURORA AVE N,SEATTLE,WA,98133,7521,1,5511,Retailer Of Automobiles,31115081,402781625,47.721529,-122.345144,3,9,0,0,0,0101000020E6100000481ADCD616965EC0CB0EF10F5BDC4740
LITTLE CAESARS PIZZA,18336 AURORA AVE N # 107,SHORELINE,WA,98133,4526,14,5812,Eating Places,51751154,402127528,47.762554,-122.345708,3,2,6343,4384,321,0101000020E6100000CC7D721420965EC08DB7955E9BE14740
ECHO LAKE SENIOR APARTMENTS,1140 N 192ND ST,SHORELINE,WA,98133,2936,10,6513,Apartment Building Operators,181544169,688834183,47.767917,-122.344443,3,9,0,0,0,0101000020E61000008315A75A0B965EC06E85B01A4BE24740
STANLEY STEEMER CARPET CLEANER,1334 N 131ST ST,SEATTLE,WA,98133,7630,20,7217,Carpet And Upholstery Cleaning,35452776,402429878,47.724236,-122.341814,3,2,167245,638,230,0101000020E610000028D4D347E0955EC0FD4AE7C3B3DC4740
RAILI'S HAIR SALON,12228 DENSMORE AVE N,SEATTLE,WA,98133,7729,1,7241,Barber Shop,102262902,174520221,47.718716,-122.337941,3,9,0,0,0,0101000020E610000090BE49D3A0955EC0548EC9E2FEDB4740
BUDGET AUTO REPAIR,16731 AURORA AVE N,SHORELINE,WA,98133,5310,2,7538,General Automotive Repair Service,32348721,402382391,47.750737,-122.345812,3,9,0,0,0,0101000020E61000001EA4A7C821965EC0D672672618E04740
ARTHUR MURRAY DANCE STUDIO,13510 AURORA AVE N # C2,SEATTLE,WA,98133,7522,7,7911,Dance Studio/School/Hall,14215754,402367712,47.726972,-122.34479,3,2,1890,230,94,0101000020E6100000397F130A11965EC0CA8D226B0DDD4740
NORTH SOUND ORAL,1130 N 185TH ST # 101,SHORELINE,WA,98133,4011,7,8021,Dentist's Office,181893012,417376279,47.763372,-122.345443,3,9,0,0,0,0101000020E610000075E8F4BC1B965EC04F57772CB6E14740
CORNERSTONE INTEGRATIVE CLINIC,1207 N 200TH ST # 211,SHORELINE,WA,98133,3213,2,8041,Chiropractor's Office,31168221,402413021,47.774043,-122.344353,3,9,0,0,0,0101000020E6100000E3512AE109965EC04F594DD713E34740
911 DRIVING SCHOOL,10109 AURORA AVE N,SEATTLE,WA,98133,9330,7,8299,School/Educational Service,37295051,374752319,47.702217,-122.344934,3,9,0,0,0,0101000020E6100000D2510E6613965EC0FDD8243FE2D94740
R H BROWN CO,12 S IDAHO ST,SEATTLE,WA,98134,1119,12,3535,Manufacturer Of Conveyors/Equipment,37299049,502059801,47.564619,-122.342304,3,9,0,0,0,0101000020E61000008F52094FE8955EC0A1D9756F45C84740
G S BUILDING SUPPLY,2937 UTAH AVE S,SEATTLE,WA,98134,,8,5211,Retailer Of Lumber And Other Building Materials,199449663,402769729,47.577414,-122.335363,3,9,0,0,0,0101000020E610000076525F9676955EC05320B3B3E8C94740
EMERALD CITY BEER CO,3100 AIRPORT WAY S,SEATTLE,WA,98134,2116,12,2082,Manufacturer Of Malt Beverage,9667235,402591719,47.576233,-122.321187,3,9,0,0,0,0101000020E61000009F39EB538E945EC020F0C000C2C94740
GO MOBILE ADVERTISING,3232 1ST AVE S,SEATTLE,WA,98134,1818,15,2741,Miscellaneous Publisher,167965529,619236458,47.575193,-122.333989,3,9,0,0,0,0101000020E6100000520E661360955EC0AEF199EC9FC94740
VESPA SEATTLE,3861 1ST AVE S,SEATTLE,WA,98134,2203,9,5571,Retailer Of Motorcycles,199449664,422429445,47.570345,-122.334373,3,9,0,0,0,0101000020E610000096EA025E66955EC0F437A11001C94740
PIKE PLACE PRODUCE CO INC,5025 CALIFORNIA AVE SW,SEATTLE,WA,98136,1277,3,5431,Retailer Of Fruit And Vegetable Markets,31131644,402342493,47.557198,-122.387103,3,9,0,0,0,0101000020E6100000BE4BA94BC6985EC0C4B2994352C74740
DEVIR US LLC,9131 CALIFORNIA AVE SW # 5,SEATTLE,WA,98136,2551,7,5945,Retailer Of Toys And Games,31117379,246315105,47.521937,-122.387673,3,9,0,0,0,0101000020E6100000B4226AA2CF985EC043C9E4D4CEC24740
AMY'S NAIL & SPA,5631 CALIFORNIA AVE SW,SEATTLE,WA,98136,1547,3,7231,Beauty Shops,31064031,402367629,47.550933,-122.387292,3,9,0,0,0,0101000020E610000028806264C9985EC0C2A4F8F884C64740
DAVID GRACEY ASSOC INC,5001 CALIFORNIA AVE SW # 209,SEATTLE,WA,98136,1291,1,8748,Business Consulting Service,35488864,402577893,47.557445,-122.387093,3,9,0,0,0,0101000020E6100000ACE0B721C6985EC0CC28965B5AC74740
SUSAN CARROLL LAW OFFICE,6041 CALIFORNIA AVE SW,SEATTLE,WA,98136,1685,3,8111,Legal Service,31081697,402342431,47.54825,-122.387359,3,9,0,0,0,0101000020E6100000EC33677DCA985EC01904560E2DC64740
WESTSIDE UNITARIAN UNIVERSLST,7141 CALIFORNIA AVE SW,SEATTLE,WA,98136,1946,8,8661,Religious Organization,31072049,540249984,47.539492,-122.387495,3,9,0,0,0,0101000020E61000004417D4B7CC985EC0113AE8120EC54740
D & B WHOLESALE,1222 S WELLER ST,SEATTLE,WA,98144,2037,1,5092,Wholesaler Of Toys And Hobby Goods And Supplies,31187132,358747897,47.597639,-122.316758,3,9,0,0,0,0101000020E6100000C4AF58C345945EC036E84B6F7FCC4740
CMARR AUTOMOTIVE,1216 S WELLER ST,SEATTLE,WA,98144,2049,3,7538,General Automotive Repair Service,31220105,232185496,47.597638,-122.316896,3,9,0,0,0,0101000020E6100000ED0E290648945EC0666CE8667FCC4740
RAINIER,2326 RAINIER AVE S,SEATTLE,WA,98144,5349,8,8041,Chiropractor's Office,31270675,219592979,47.582504,-122.301086,3,9,148335029,13,6,0101000020E610000024D236FE44935EC004E5B67D8FCA4740
COMCAST CABLE,140 SW 114TH ST,SEATTLE,WA,98146,2352,11,4841,Pay Television Services,16006769,402813756,47.501447,-122.335306,3,2,7823,1937,215,0101000020E6100000C4094CA775955EC0B2D6506A2FC04740
SEATTLE LABEL,11902 26TH PL SW,BURIEN,WA,98146,2407,25,7389,Business Service,32346819,402769758,47.496568,-122.366712,3,9,0,0,0,0101000020E610000040C39B3578975EC0BD1E4C8A8FBF4740
WORLD DISTRIBUTION,13323 8TH AVE SW,BURIEN,WA,98146,3243,4,7319,Advertising Service,98424672,402342520,47.483736,-122.344713,3,9,0,0,0,0101000020E610000063601DC70F965EC0EDF2AD0FEBBD4740
A PERFECT PARTY LLC,17833 1ST AVE S,NORMANDY PARK,WA,98148,1713,2,5963,Direct Retail Sales,37306835,421466662,47.44315,-122.334393,3,9,20392,12,10,0101000020E6100000BAC0E5B166955EC0789CA223B9B84740
FRONTIER TAX SVC,19307 3RD AVE S,DES MOINES,WA,98148,2115,2,7291,Tax Return Service,99034113,886104215,47.429505,-122.332559,3,9,0,0,0,0101000020E6100000643F8BA548955EC0F73B1405FAB64740
DAY ALL NIGHT EMERGENCY,15203 8TH AVE S,BURIEN,WA,98148,1114,10,8322,Individual/Family Service,32457183,402577669,47.4661,-122.323633,3,9,148547082,8,1,0101000020E610000002BA2F67B6945EC03255302AA9BB4740
CAPSTONE ROOFING,20126 BALLINGER WAY NE # 375,SHORELINE,WA,98155,1117,3,1761,Roofing/Siding Contractor,43298579,402744318,47.775204,-122.310042,3,9,0,0,0,0101000020E6100000BB9866BAD7935EC03CDD79E239E34740
ONE GARAGE DOORS & GATES,20126 BALLINGER WAY NE,SHORELINE,WA,98155,1117,2,5211,Retailer Of Lumber And Other Building Materials,43298579,422428671,47.775204,-122.310042,3,9,0,0,0,0101000020E6100000BB9866BAD7935EC03CDD79E239E34740
SEATTLE SEO CO,PO BOX 55824,SEATTLE,WA,98155,824,3,7374,Data Processing/Preparation Services,146042600,402630312,47.75675,-122.30822,7,9,0,0,0,0101000020E610000048FE60E0B9935EC0BE9F1A2FDDE04740
GERMAN AUTO CTR,3201 NE 145TH ST,SEATTLE,WA,98155,7504,2,7538,General Automotive Repair Service,35705679,402800496,47.733633,-122.29377,3,9,0,0,0,0101000020E6100000F0A2AF20CD925EC01822A7AFE7DD4740
BRIDGES STAGE CO,14820 BOTHELL WAY NE # 154,LAKE FOREST PARK,WA,98155,7611,1,7922,Theatrical Producers/Service,31268236,400246132,47.736532,-122.291703,3,9,0,0,0,0101000020E610000049490F43AB925EC08E3A3AAE46DE4740
M & M TOWNCAR LIMO SVC,17800 INTERNATIONAL BLVD,SEATAC,WA,98158,1202,4,4119,Local Passenger Transport Services,13349333,402422252,47.443518,-122.295874,3,9,0,0,0,0101000020E6100000266F8099EF925EC0FA97A432C5B84740
TRUE BENEFITS LLC,1215 4TH AVE # 2200,SEATTLE,WA,98161,1016,18,8742,Management Consulting Service,10720814,354935918,47.607522,-122.334457,3,9,0,0,0,0101000020E6100000C53A55BE67955EC0DECCE847C3CD4740
CASPIAN MOBILITY,909 5TH AVE,SEATTLE,WA,98164,2005,8,4119,Local Passenger Transport Services,155352442,402332443,47.605787,-122.331324,3,9,0,0,0,0101000020E61000005018946934955EC0C5ABAC6D8ACD4740
CAROL BAILEY & ASSOC PLLC,901 5TH AVE # 2800,SEATTLE,WA,98164,2069,13,8111,Legal Service,46884875,393661673,47.605728,-122.331271,3,9,0,0,0,0101000020E61000003FC7478B33955EC0C022BF7E88CD4740
BURIEN BOOKS,824 SW 152ND ST,BURIEN,WA,98166,1842,2,5942,Retailer Of Books,40464082,308679893,47.466907,-122.34515,3,9,0,0,0,0101000020E6100000B98D06F016965EC001A3CB9BC3BB4740
XTRAVAGANZA SALON,630 SW 153RD ST # A,BURIEN,WA,98166,2260,1,7231,Beauty Shops,9694420,364977744,47.466048,-122.342236,3,9,0,0,0,0101000020E6100000E3E0D231E7955EC0E02EFB75A7BB4740
H V HAIR & NAIL SALON,406 SW 156TH ST,BURIEN,WA,98166,,3,7231,Beauty Shops,199399511,402382508,47.463417,-122.339582,3,9,0,0,0,0101000020E6100000DB1324B6BB955EC089B48D3F51BB4740
BRANCHING OUT TREE SVC,13604 12TH AVE S,BURIEN,WA,98168,3645,2,783,Shrub And Tree Services,98428704,540173440,47.480829,-122.317921,3,9,0,0,0,0101000020E61000008B6D52D158945EC0F4FBFECD8BBD4740
OPEN ROOTER PLUMBERS,3444 S 143RD ST,SEATTLE,WA,98168,,7,1711,Plumbing/Heating/Ac Contractor,199449669,402382411,47.732072,-122.290376,3,9,0,0,0,0101000020E6100000C5E2378595925EC09E280989B4DD4740
MICK KELLY'S RESTAURANT,1000 S 112TH ST,SEATTLE,WA,98168,2146,6,5812,Eating Places,13491443,402382243,47.503167,-122.32053,3,9,0,0,0,0101000020E6100000C3D8429083945EC095B6B8C667C04740
RASMUSSEN ENTERPRISES,2017 NW 199TH ST,SHORELINE,WA,98177,2342,1,2741,Miscellaneous Publisher,187605026,400084379,47.773663,-122.383038,3,9,0,0,0,0101000020E610000004C8D0B183985EC00890A16307E34740
LAURA D CONNOR,19721 23RD AVE NW,SHORELINE,WA,98177,2369,2,8111,Legal Service,102379736,248515751,47.773277,-122.3867,3,9,0,0,0,0101000020E61000003F575BB1BF985EC0DFDFA0BDFAE24740
OPPORTUNITY HOMES LLC,3228 S 169TH ST,SEATAC,WA,98188,3151,1,1521,Single-Family Homes Contractor,102198815,400486301,47.452168,-122.291094,3,9,51834063,17,7,0101000020E6100000F583BA48A1925EC01C261AA4E0B94740
A-1 MELODY AIRPORT SVC,18313 32ND AVE S,SEATAC,WA,98188,4977,1,4121,Taxicab Service,152867732,488698044,47.43925,-122.291386,3,9,0,0,0,0101000020E6100000C9207711A6925EC04E62105839B84740
DISCOUNT DIRECT,375 CORPORATE DR S # 100,TUKWILA,WA,98188,3381,2,5963,Direct Retail Sales,14197053,402385895,47.44922,-122.255585,3,9,0,0,0,0101000020E6100000481630815B905EC0C45A7C0A80B94740
DOLLAR TREE,363 STRANDER BLVD,TUKWILA,WA,98188,2916,11,5331,Retail Variety Stores,38706267,402813988,47.455706,-122.255118,3,2,1108,5595,329,0101000020E6100000BDA772DA53905EC0A54BFF9254BA4740
SEAFOOD CITY,1368 SOUTHCENTER MALL,TUKWILA,WA,98188,2839,5,5421,Retailer Of Meat And Fish,198662316,421466567,47.45774,-122.2544,7,9,218277,18,11,0101000020E61000008E06F01648905EC018096D3997BA4740
CARTER'S CHILDRENSWEAR,17250 SOUTHCENTER PKWY,TUKWILA,WA,98188,3351,10,5641,Retailer Of Children's Wear,150864680,402422385,47.450235,-122.262283,3,2,6299,182,80,0101000020E6100000FED2A23EC9905EC0DD41EC4CA1B94740
SHIEKH SHOES,986 SOUTHCENTER MALL,TUKWILA,WA,98188,2821,8,5661,Retailer Of Shoes,38684042,402342432,47.45774,-122.2544,7,2,7387,144,33,0101000020E61000008E06F01648905EC018096D3997BA4740
GRILL CITY,1368 SOUTHCENTER MALL,TUKWILA,WA,98188,2839,10,5812,Eating Places,198662316,402781657,47.45774,-122.2544,7,9,0,0,0,0101000020E61000008E06F01648905EC018096D3997BA4740
SHIRTZ TO GO,2897 SOUTHCENTER MALL,TUKWILA,WA,98188,2844,6,2759,Commercial Printer,199456526,707733739,47.465013,-122.293874,3,9,0,0,0,0101000020E610000043C9E4D4CE925EC0809BC58B85BB4740
AMERICAN INCOME LIFE INS CO,16040 CHRISTENSEN RD # 215,TUKWILA,WA,98188,2966,5,6411,"Insurance Agents, Brokers And Service",9596357,402800602,47.460366,-122.24863,3,2,148305191,215,116,0101000020E61000007DB3CD8DE98F5EC05D18E945EDBA4740
BLACK POINT IT SVC,18300 CASCADE AVE S # 141,SEATTLE,WA,98188,4747,30,7379,Computer Related Service,13351147,422428017,47.437235,-122.248724,3,9,0,0,0,0101000020E6100000BD6E1118EB8F5EC052D50451F7B74740
NWMCA,570A INDUSTRY DR # 6,TUKWILA,WA,98188,,6,8011,Medical Doctor's Office,51377901,419727568,47.453953,-122.248758,3,9,0,0,0,0101000020E610000093A7ACA6EB8F5EC0E675C4211BBA4740
PRODUCT DEVELOPMENT CORP,1171 ANDOVER PARK W,TUKWILA,WA,98188,3910,5,8731,Commercial Physical Research,31104136,402548297,47.444691,-122.254667,3,9,43758,98,55,0101000020E6100000B517D1764C905EC0ABE97AA2EBB84740
GLOBAL BULK MARINE SVC,16400 SOUTHCENTER PKWY # 400,TUKWILA,WA,98188,3302,2,8748,Business Consulting Service,9604264,400425596,47.455618,-122.262359,3,9,0,0,0,0101000020E6100000EC33677DCA905EC006BCCCB051BA4740
CHEYENNE BABCOCK MD,PO BOX 356540,SEATTLE,WA,98195,6540,3,8011,Medical Doctor's Office,43149531,402646314,47.65419,-122.3121,7,9,0,0,0,0101000020E610000039454772F9935EC064AF777FBCD34740
UNIVIVERSITY OF WA MEDICAL CTR,1 S CAMPUS CTR - UW,SEATTLE,WA,98103,,3,8071,Medical Laboratory,37294321,402342451,47.67457,-122.34921,7,9,0,0,0,0101000020E6100000EA5BE67459965EC06E6E4C4F58D64740
AVA'S CUSTOM FRAMING,23450 27TH AVE S,DES MOINES,WA,98198,8742,2,7699,Repair Services,99036948,677785560,47.390604,-122.29869,3,9,0,0,0,0101000020E61000001A69A9BC1D935EC0E9D7D64FFFB14740
BRUCE MATSON CO INC,2901 W COMMODORE WAY,SEATTLE,WA,98199,1237,1,1521,Single-Family Homes Contractor,31113607,540254737,47.66257,-122.394013,3,9,0,0,0,0101000020E6100000BA4C4D8237995EC0C6A70018CFD44740
CAPSTONE ROOFING,2525 BROADWAY # 3405,EVERETT,WA,98201,3020,5,1761,Roofing/Siding Contractor,31114185,402744317,47.984171,-122.201235,3,9,0,0,0,0101000020E6100000E0F3C308E18C5EC0F855B950F9FD4740
ATLAS FENCE,2604 ROCKEFELLER AVE,EVERETT,WA,98201,2925,4,1799,Trade Contractor,14234384,402371382,47.983047,-122.205925,1,9,116138,30,21,0101000020E6100000711B0DE02D8D5EC028B7ED7BD4FD4740
PLANT MULCH CO INC,2525 BROADWAY # 3405,EVERETT,WA,98201,3020,3,5261,Retailer Of Nurseries And Garden Centers,31114185,402482411,47.984171,-122.201235,3,9,0,0,0,0101000020E6100000E0F3C308E18C5EC0F855B950F9FD4740
BLUE HEART ART,1319 HEWITT AVE,EVERETT,WA,98201,3920,2,5999,Retailer Of Miscellaneous Merchandise,31251327,402809919,47.979446,-122.212146,3,9,0,0,0,0101000020E61000008BFED0CC938D5EC059198D7C5EFD4740
SOLUTION INC RELIABLE TECH,2625 COLBY AVE # 1,EVERETT,WA,98201,2971,6,7379,Computer Related Service,31281056,698014115,47.982941,-122.208333,3,9,0,0,0,0101000020E61000005D6BEF53558D5EC0E272BC02D1FD4740
LEGAL ASSOCIATES,2817 WETMORE AVE,EVERETT,WA,98201,3596,4,7389,Business Service,31151725,174758532,47.980358,-122.206998,3,9,0,0,0,0101000020E610000098158A743F8D5EC09D2FF65E7CFD4740
JOSEPH ZVALEUSKAS LAW OFFICE,3216 WETMORE AVE # 202,EVERETT,WA,98201,4368,2,8111,Legal Service,31227286,402346375,47.975,-122.207265,3,9,0,0,0,0101000020E6100000C0266BD4438D5EC0CDCCCCCCCCFC4740
MONTY J BOOTH,3014 HOYT AVE,EVERETT,WA,98201,4005,2,8111,Legal Service,9663686,997877428,47.977624,-122.210213,3,9,0,0,0,0101000020E61000006B0C3A21748D5EC071E481C822FD4740
JOESPH GEAR,7705 TIMBER HILL DR,EVERETT,WA,98203,6957,4,782,Lawn And Garden Services,53516235,402357902,47.927701,-122.198232,3,9,0,0,0,0101000020E6100000534145D5AF8C5EC0B6BB07E8BEF64740
PRIDE PLUMBING CO,4917 EVERGREEN WAY # 450,EVERETT,WA,98203,2828,3,1711,Plumbing/Heating/Ac Contractor,31096611,402446973,47.951688,-122.213468,3,9,0,0,0,0101000020E610000086AFAF75A98D5EC071FF91E9D0F94740
WASHINGTON AUTOMATED,5801 23RD DR W # 103,EVERETT,WA,98203,1587,16,5087,Wholesaler Of Service Establishment Equipment,192291675,494563604,47.95194,-122.2605,7,9,0,0,0,0101000020E6100000E9263108AC905EC08BE07F2BD9F94740
BEST GARAGE DOORS & GATES REPR,5929 EVERGREEN WAY # 104,EVERETT,WA,98203,6031,2,5211,Retailer Of Lumber And Other Building Materials,9723391,402430632,47.944236,-122.216578,3,9,0,0,0,0101000020E61000001EC2F869DC8D5EC059DAA9B9DCF84740
CASCADE CHEM-DRY CRPT CLNING,7701 HARDESON RD,EVERETT,WA,98203,6291,3,7217,Carpet And Upholstery Cleaning,31239622,402127208,47.928085,-122.243107,3,2,3841,3153,295,0101000020E61000006F9BA9108F8F5EC03F74417DCBF64740
MASSAGE CLINIC,4322 RUCKER AVE,EVERETT,WA,98203,2233,4,7299,Personal Service,31184481,400963873,47.960419,-122.210894,3,9,148328659,25,14,0101000020E61000000C3B8C497F8D5EC080BA8102EFFA4740
123 GARAGE DOORS & GATES,10121 EVERGREEN WAY,EVERETT,WA,98204,3885,2,5211,Retailer Of Lumber And Other Building Materials,16063139,402345966,47.906673,-122.242071,3,9,0,0,0,0101000020E6100000D7135D177E8F5EC0469561DC0DF44740
RELIABLE MORTGAGE SOLUTIONS,12414 HIGHWAY 99 # 202,EVERETT,WA,98204,8510,2,6162,Mortgage Bankers And Correspondents,37617727,244547238,47.885667,-122.262143,3,9,0,0,0,0101000020E610000005F86EF3C6905EC0BE1248895DF14740
LARISA DESYATNIK,12310 HIGHWAY 99 # 226,EVERETT,WA,98204,8006,2,6411,"Insurance Agents, Brokers And Service",37299976,404471213,47.884735,-122.263009,3,9,0,0,0,0101000020E61000006F63B323D5905EC0335019FF3EF14740
NORTH CREEK DENTAL CARE,10627 19TH AVE SE,EVERETT,WA,98208,5147,6,8021,Dentist's Office,31042975,660367574,47.901188,-122.206721,3,9,0,0,0,0101000020E61000005F99B7EA3A8D5EC019C6DD205AF34740
