sic4,sic4desc
5949,"Sewing, Needlework And Piece Goods"
5961,Mail-Order Retailer
5962,Merchandising Machine Operators
5963,Direct Retail Sales
5983,Retailer Of Fuel Oil
5984,Liquefied Petroleum Gas Dealers
5989,Retail Fuel Dealer
5992,Retail Florist
5993,Tobacco Stores And Stands
5994,Retail News Dealer
5995,Retailer Of Optical Goods
5999,Retailer Of Miscellaneous Merchandise
6011,Federal Reserve Banks
6021,National Commercial Banks
6022,State Commercial Banks
6029,Commercial Banks
6035,Federal Savings Institutions
6036,"Savings Institutions, Not Federally Charted"
6061,Federal Credit Unions
6062,State Credit Unions
6081,Foreign Banks
6082,Foreign Trade Company
6091,Nondeposit Trust Facilities
6099,Depository Banking Services
6111,Federal Credit Agencies
6141,Personal Credit Institutions
6153,Short-Term Business Credit
6159,Miscellaneous Business Credit
6162,Mortgage Bankers And Correspondents
6163,Loan Broker
6211,Security Brokers And Dealers
6221,"Commodity Contracts Brokers, Dealers"
6231,Security And Commodity Exchanges
6282,Investment Advisory Services
6289,Security And Commodity Service
6311,Life Insurance Carrier
6321,Accident And Health Insurance
6324,Hospital And Medical Service Plans
6331,"Fire, Marine And Casualty Insurance"
6351,Surety Insurance Carrier
6361,Title Insurance Carrier
6371,"Pension, Health And Welfare Funds"
6399,Insurance Carriers
6411,"Insurance Agents, Brokers And Service"
6512,Nonresidential Building Operators
6513,Apartment Building Operators
6514,"Dwelling Operators, Except Apartments"
6515,Mobile Home Site Operators
6517,Railroad Property Lessors
6519,Real Property Lessors
6531,Real Estate Agents And Managers
6541,Title Abstract Offices
6552,Land Developer
6553,Cemetery Subdividers And Developers
6712,Bank Holding Companies
6719,Investment Holding Companies
6722,Open-End Management Investments
6726,Closed-End Investment Offices
6732,"Trusts: Educational, Religious, Etc."
6733,Trust Management Office
6792,Oil Royalty Traders
6794,Licensing Services
6798,Real Estate Investment Trusts
6799,Investor Services
7011,Hotels And Motels
7021,Rooming And Boarding Houses
7032,Sporting And Recreational Camps
7033,Trailer Parks And Campsites
7041,Membership-Basis Organization Hotels
7211,"Power Laundries, Family And Commercial"
7212,Garment Pressing And Cleaners' Agents
7213,Linen Supply Service
7215,Coin-Operated Laundry
7216,"Dry Cleaning Plants, Except Rugs"
7217,Carpet And Upholstery Cleaning
7218,Industrial Laundry Service
7219,Garment Service
7221,Portrait Studio
7231,Beauty Shops
7241,Barber Shop
7251,Shoe Repair And Shoeshine Parlors
7261,Funeral Service/Crematory
7291,Tax Return Service
7299,Personal Service
7311,Advertising Agency
7312,Outdoor Advertising Service
7313,Advertising Representative
7319,Advertising Service
7322,Adjustment/Collection Service
7323,Credit Reporting Service
7331,Direct Mail Advertising Services
7334,Photocopying Service
7335,Commercial Photographer
7336,Commercial Art/Graphic Design
7338,Secretarial/Court Reporting Service
7342,Pest Control Service
7349,Building Maintenance Service
7352,Medical Equipment Rental Service
7353,Heavy Equipment Rental Service
7359,Equipment Rental/Leasing Service
7361,Employment Agency
7363,Help Supply Services
7371,Custom Computer Programming Services
7372,Prepackaged Software Service
7373,Computer Systems Design Services
7374,Data Processing/Preparation Services
7375,Information Retrieval Service
7376,Computer Facility Management
7377,Computer Rental/Leasing Services
7378,Computer Maintenance Service
7379,Computer Related Service
7381,Detective/Armored Car Service
7382,Security Systems Service
7383,News Syndicate
7384,Photofinishing Laboratory
7389,Business Service
7513,Truck Rental/Leasing Service
7514,Passenger Car Rental Service
7515,Passenger Car Leasing Service
7519,Utility Trailer Rental Service
7521,Automobile Parking Service
7532,Auto Body Repair And Painting
7533,Auto Exhaust Repair Service
7534,Tire Repair Service
7536,Automotive Glass Replacement Service
7537,Automotive Transmission Repair Service
7538,General Automotive Repair Service
7539,Automotive Repair Service
7542,Carwash
7549,Automotive Service
7622,Consumer Electronics Repair Service
7623,Refrigeration/Ac Service
7629,Electrical Repair Shop
7631,Clock/Jewelry Repair Shop
7641,Reupholstery/Furniture Repair
7692,Welding Service
7694,Armature Rewinding Service
7699,Repair Services
7812,Motion Picture/Video Producer
7819,Motion Picture Service
7822,Film/Video Distribution Service
7829,Motion Picture Service
7832,Motion Picture Theater
7833,Drive-In Theater
7841,Video Tape Rental Service
7911,Dance Studio/School/Hall
7922,Theatrical Producers/Service
7929,Public Entertainment Service
7933,Bowling Center
7941,Professional Sports Service
7948,Racetrack Operation
7991,Physical Fitness Facility
7992,Public Golf Course
7993,Coin-Operated Amusement Service
7996,Amusement Park
7997,Membership Recreation Club
7999,Recreation Service
8011,Medical Doctor's Office
8021,Dentist's Office
8031,Osteopathic Physician's Office
8041,Chiropractor's Office
8042,Optometrist's Office
8043,Podiatrist's Office
8049,Health Practitioner's Office
8051,Skilled Nurse Care Facility
8052,Intermediate Care Facility
8059,Nursing/Personal Care Service
8062,General Hospital
8063,Psychiatric Hospital
8069,Specialty Hospital
8071,Medical Laboratory
8072,Dental Laboratory
8082,Home Health Care Service
8092,Kidney Dialysis Center
8093,Specialty Outpatient Clinic
8099,Health/Allied Service
8111,Legal Service
8211,Elementary/Secondary School
8221,College/University
8222,Jr College/Technical School
8231,Library
8243,Data Processing School
8244,Business/Secretarial School
8249,Vocational School
8299,School/Educational Service
8322,Individual/Family Service
8331,Job Training/Related Service
8351,Child Day Care Service
8361,Residential Care Service
8399,Social Service
8412,Museum
8422,Botanical/Zoological Garden
8611,Business Association
8621,Professional Organization
8631,Labor Organization
8641,Civic/Social Association
8651,Political Organization
8661,Religious Organization
8699,Membership Organization
8711,Engineering Service
8712,Architectural Service
8713,Surveying Service
8721,Accounting/Bookkeeping Service
8731,Commercial Physical Research
8732,Commercial Research Service
8733,Noncommercial Research Service
8734,Testing Laboratory
8741,Management Service
8742,Management Consulting Service
8743,Public Relations Service
8744,Facilities Support Service
8748,Business Consulting Service
8999,Miscellaneous Service
9111,Executive Office
9121,Legislative Body
9199,General Government
9211,Courts
9221,Police Protection
9222,Legal Counsel/Prosecutor
9223,Correctional Institutions
9224,Fire Protection
9229,Public Order/Safety Administration
9311,Finance/Monetary Policy Administration
9411,Educational Programs
9431,Public Health Programs
9441,Social/Man-Power Programs
9451,Veterans' Affairs Administration
9511,Air/Water/Waste Management Administration
9512,Land/Wildlife Conservation Adminstration
9531,Housing Program Administration
9532,Urban/Community Development Administration
9611,General Economic Program Administration
9621,Transportation Regulation Administration
9631,Utility Regulation Administration
9641,Agricultural Marketing Programs
9651,Commercial Regulations Administration
9661,Space Research/Technology Administration
9711,National Security
9721,International Affairs
9999,Nonclassifiable Establishments
